gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,16,1,0,2,1,1,1,1,1,1,0,0,3,19.6,314.45,0
0,0,0,0,59,1,2,0,2,0,0,2,0,2,1,0,0,68.7,4070.95,0
0,0,0,0,11,1,0,1,0,1,0,0,1,2,0,1,2,94.97728491428461,1120.288860871428,1
0,0,1,1,40,1,2,1,0,0,2,2,0,0,0,1,2,84.85,3303.05,1
0,1,0,0,28,1,2,1,0,0,0,2,2,2,0,0,1,101.18579709846833,2864.994068228733,1
0,0,0,0,17,1,0,1,0,0,1,1,1,1,0,0,0,95.94477563277928,1701.1275690343352,1
0,0,0,0,48,1,0,0,2,0,2,2,0,0,1,1,1,60.35,2896.4,1
0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,37.721019255334056,140.02231454044758,1
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,1,3,19.85,810.45,0
0,1,1,0,39,1,2,1,0,0,0,0,2,1,0,1,0,94.69593548153156,3640.766397934749,1
0,0,0,0,22,1,0,0,0,1,0,1,0,0,0,0,1,54.53972142461638,1206.5240556790925,1
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.79154052726145,19.79154052726145,1
0,0,1,1,57,1,0,2,1,1,1,1,1,1,2,0,0,19.5,1167.6,0
1,0,1,0,25,1,0,1,0,0,0,2,2,2,0,1,1,95.7,2338.35,0
0,1,0,0,44,0,1,0,0,1,1,1,1,1,0,1,0,63.50490838828852,2822.1400439674853,1
1,0,1,0,4,1,1,1,0,0,0,0,0,0,0,0,2,76.07323761960917,308.4295909434274,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,69.99057064774557,69.99057064774557,1
0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,1,2,74.45749469288604,526.3361443534997,1
1,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,1,20.35,707.5,0
1,1,0,0,65,1,2,1,2,0,2,2,2,2,2,1,2,110.35,7246.15,0
0,0,1,0,12,1,0,0,0,0,0,0,0,1,0,0,2,59.08357279193591,735.190714651495,1
0,0,0,0,59,1,0,1,0,0,2,0,2,2,2,0,2,95.8,5655.45,0
1,0,1,0,69,1,2,1,0,2,0,2,2,0,2,1,3,92.45,6460.55,0
0,0,1,0,14,1,0,1,1,1,0,1,1,2,0,0,2,99.78955477774599,1347.8858726538306,1
1,0,0,0,23,1,0,1,2,0,2,0,2,2,1,1,1,99.95,2292.75,0
1,0,1,1,65,1,2,1,2,0,2,2,2,2,2,0,0,108.65,6937.95,1
0,0,0,0,44,1,0,1,0,2,2,0,2,0,0,1,1,88.15,3973.2,0
0,1,1,0,69,1,0,1,2,2,0,0,0,2,1,0,1,87.3,6055.55,0
1,0,1,1,7,1,0,0,0,0,0,0,0,0,0,0,2,44.75,333.65,0
1,0,1,0,61,1,2,0,2,2,2,2,0,2,2,1,0,80.8,4860.85,0
0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,0,3,75.45,480.75,1
1,0,1,1,68,1,0,1,0,2,2,2,2,2,1,0,1,105.75,7322.5,0
1,0,0,0,3,0,1,0,2,0,2,2,0,0,0,0,3,41.35,107.25,0
1,0,1,1,65,1,2,1,0,0,2,2,2,2,2,1,0,104.1,6700.05,0
0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1,2,23.9,300.8,1
0,0,1,0,45,1,0,0,0,0,2,0,0,0,0,1,1,50.25,2221.55,0
0,1,1,0,47,1,2,1,0,0,2,0,2,2,0,0,2,99.7,4747.2,0
1,0,0,0,22,1,1,1,2,0,0,0,2,2,0,1,0,100.79277108451085,2322.375100399964,1
0,0,1,0,46,1,2,2,1,1,1,1,1,1,1,1,0,24.45,1066.15,0
0,1,0,0,44,1,2,1,2,2,2,0,2,2,1,1,1,109.8,4860.35,0
0,0,0,0,38,1,2,0,0,2,0,2,0,2,0,0,1,68.15,2656.3,0
0,0,1,1,72,1,2,0,2,2,2,2,0,0,2,1,0,70.45,5165.7,0
0,0,0,0,23,1,2,2,1,1,1,1,1,1,1,0,1,24.8,615.35,0
