iter	MultiClass
0	1.728102531
1	1.669927945
2	1.618288939
3	1.572098489
4	1.527835457
5	1.490770397
6	1.457911322
7	1.42386526
8	1.391246616
9	1.361647996
10	1.333090254
11	1.30753431
12	1.281658911
13	1.257615266
14	1.236447146
15	1.214529888
16	1.19607409
17	1.177134872
18	1.15951397
19	1.143661285
20	1.126076026
21	1.109186938
22	1.092252579
23	1.078555494
24	1.065759696
25	1.052467359
26	1.040255301
27	1.029984215
28	1.01791513
29	1.005007935
30	0.9940010303
31	0.9843607131
32	0.9748825403
33	0.9631525352
34	0.9537565405
35	0.9434626176
36	0.9340332027
37	0.9258318478
38	0.9181188592
39	0.9111979897
40	0.9035614014
41	0.8954027966
42	0.8868053515
43	0.8782905349
44	0.8723186139
45	0.8654480068
46	0.8604536147
47	0.8545797229
48	0.8484075613
49	0.8424588915
50	0.8368362907
51	0.8304712769
52	0.8261560433
53	0.8201852188
54	0.8140532968
55	0.8087811127
56	0.8047314569
57	0.7990821953
58	0.7943625376
59	0.7896841418
60	0.7854114596
61	0.7806385347
62	0.77715381
63	0.7731086862
64	0.7684384574
65	0.7649799177
66	0.7603069497
67	0.7558437092
68	0.7513608272
69	0.749119052
70	0.7441013434
71	0.739642046
72	0.7360609015
73	0.7313525404
74	0.7272874411
75	0.7252697198
76	0.7219130016
77	0.7184257822
78	0.7140925822
79	0.711268081
80	0.7085368474
81	0.7054035057
82	0.7016404701
83	0.6983184929
84	0.6951680041
85	0.6916368023
86	0.6882308303
87	0.6858291305
88	0.6835254648
89	0.680714726
90	0.6774393832
91	0.6741424834
92	0.6719865077
93	0.6681444468
94	0.6656352615
95	0.6622616514
96	0.6591419362
97	0.6569541009
98	0.6551608113
99	0.6532363495
100	0.650635589
101	0.64720695
102	0.6443197173
103	0.6421896983
104	0.6397500675
105	0.6372045938
106	0.6340980548
107	0.6312137693
108	0.6286667485
109	0.6259631778
110	0.624169705
111	0.6222047127
112	0.620314563
113	0.6185101946
114	0.615535589
115	0.6133141709
116	0.6112394371
117	0.6094007233
118	0.6073478797
119	0.6054798737
120	0.6037311142
121	0.6016500154
122	0.5996051975
123	0.5976533836
124	0.59568253
125	0.5931230093
126	0.5909363475
127	0.5893207581
128	0.5868623648
129	0.5857308435
130	0.5839394179
131	0.5822202858
132	0.5798422725
133	0.5778490222
134	0.5754088028
135	0.5731016826
136	0.5713994325
137	0.5697768339
138	0.5685089723
139	0.5667827225
140	0.5655193004
141	0.5639999786
142	0.5623220025
143	0.5602188245
144	0.5585782388
145	0.5566467514
146	0.555027151
147	0.5533624473
148	0.551523952
149	0.5502447115
150	0.54803997
151	0.5465313937
152	0.5450214561
153	0.5431927924
154	0.5419137421
155	0.5403490289
156	0.5389341809
157	0.5378158827
158	0.5364579445
159	0.5348291032
160	0.5330998207
161	0.5316187671
162	0.5303679904
163	0.5282064929
164	0.5265895112
165	0.5252441576
166	0.5243279177
167	0.5232769785
168	0.5215326885
169	0.5208605888
170	0.519818063
171	0.5188313615
172	0.5178191008
173	0.5169682452
174	0.5151815032
175	0.5139923655
176	0.5125260585
177	0.5117858367
178	0.5101618501
179	0.5092704638
180	0.5079140354
181	0.5064025728
182	0.5055371287
183	0.5042970831
184	0.5028429666
185	0.5008527972
186	0.4998046381
187	0.4986788758
188	0.4974196703
189	0.4960426956
190	0.4948861321
191	0.4935547256
192	0.492151219
193	0.4915859525
194	0.4906875984
195	0.4895836944
196	0.4888065105
197	0.4872593885
198	0.4864752301
199	0.4854704246
200	0.4843099024
201	0.4831024531
202	0.4824327832
203	0.4809892161
204	0.4798430966
205	0.4783421517
206	0.4772941847
207	0.4766437556
208	0.4755877327
209	0.4746990002
210	0.473205378
211	0.4721667245
212	0.4709980157
213	0.4699255848
214	0.4689547081
215	0.4678335295
216	0.4668416752
217	0.4656592656
218	0.4642544044
219	0.4632423647
220	0.4624194529
221	0.4611114702
222	0.4602456574
223	0.4595221374
224	0.4584719066
225	0.4573757458
226	0.4560410896
227	0.4545291728
228	0.4534109557
229	0.4519773692
230	0.4506719693
231	0.4498984814
232	0.4495470599
233	0.4486397214
234	0.4476141307
235	0.4468342432
236	0.4457175625
237	0.4451321237
238	0.4442130326
239	0.4433713067
240	0.4420106855
241	0.4411175663
242	0.4399522358
243	0.4385529838
244	0.4376285971
245	0.436577943
246	0.4356903273
247	0.4347255559
248	0.4341850822
249	0.4331033755
250	0.4324199345
251	0.4318167948
252	0.4309806418
253	0.4299814132
254	0.4289983951
255	0.4279003141
256	0.4271031779
257	0.4266053704
258	0.4255730136
259	0.4246907658
260	0.4235756841
261	0.4226853914
262	0.4216173626
263	0.4210158462
264	0.420105215
265	0.4196750237
266	0.4188255947
267	0.4178437243
268	0.4173405932
269	0.416712113
270	0.4153265789
271	0.4145714064
272	0.4134119536
273	0.4126689482
274	0.4118135987
275	0.4108348438
276	0.4102553917
277	0.4088998128
278	0.4084104614
279	0.4072645864
280	0.4061827324
281	0.4051419747
282	0.4043689112
283	0.4033903167
284	0.4026659127
285	0.4021136516
286	0.4009058349
287	0.3998017348
288	0.3986213959
289	0.3973299562
290	0.3964912248
291	0.3955088088
292	0.3945383356
293	0.3938961972
294	0.3933476928
295	0.3929557176
296	0.3926453002
297	0.3916298788
298	0.390933173
299	0.3902261009
300	0.3892875889
301	0.3882047965
302	0.3874144224
303	0.3869970116
304	0.3859344666
305	0.3854705629
306	0.384519989
307	0.3835457647
308	0.3827183109
309	0.3821277188
310	0.381429452
311	0.3808602628
312	0.3802322157
313	0.3795198114
314	0.3787456626
315	0.3774842569
316	0.37712352
317	0.3766212932
318	0.3756394875
319	0.3750029822
320	0.3747921523
321	0.3743120696
322	0.3736449633
323	0.3731371282
324	0.3722249674
