iter	Passed	Remaining
0	157	110164
1	172	60076
2	186	43280
3	199	34767
4	213	29653
5	226	26199
6	240	23831
7	254	22030
8	267	20532
9	279	19308
10	293	18378
11	306	17576
12	319	16876
13	332	16311
14	346	15842
15	361	15469
16	375	15092
17	389	14761
18	405	14536
19	421	14324
20	435	14086
21	450	13891
22	465	13716
23	481	13564
24	497	13444
25	514	13343
26	530	13229
27	546	13117
28	561	12988
29	576	12882
30	591	12772
31	606	12650
32	622	12575
33	639	12528
34	655	12459
35	672	12397
36	687	12327
37	703	12264
38	719	12198
39	736	12149
40	752	12092
41	767	12029
42	782	11957
43	800	11934
44	815	11868
45	830	11811
46	845	11743
47	859	11674
48	876	11644
49	891	11588
50	904	11506
51	920	11472
52	937	11439
53	953	11405
54	967	11351
55	982	11299
56	997	11248
57	1012	11203
58	1026	11155
59	1041	11110
60	1057	11077
61	1071	11029
62	1086	10986
63	1100	10938
64	1113	10881
65	1127	10829
66	1142	10791
67	1156	10748
68	1207	11044
69	1232	11091
70	1246	11043
71	1260	10995
72	1273	10938
73	1288	10898
74	1301	10846
75	1314	10791
76	1328	10746
77	1341	10698
78	1356	10665
79	1370	10619
80	1384	10580
81	1399	10549
82	1414	10512
83	1429	10482
84	1443	10444
85	1458	10416
86	1472	10376
87	1486	10337
88	1499	10293
89	1512	10254
90	1526	10217
91	1541	10186
92	1556	10157
93	1570	10121
94	1583	10085
95	1595	10038
96	1611	10020
97	1625	9986
98	1640	9958
99	1653	9921
100	1668	9892
101	1681	9860
102	1695	9830
103	1708	9789
104	1721	9756
105	1738	9739
106	1752	9711
107	1766	9683
108	1780	9654
109	1794	9627
110	1807	9591
111	1820	9559
112	1836	9539
113	1851	9516
114	1866	9496
115	1882	9477
116	1898	9458
117	1913	9437
118	1928	9415
119	1942	9390
120	1957	9367
121	1972	9346
122	1987	9321
123	2000	9291
124	2013	9262
125	2027	9236
126	2041	9209
127	2056	9190
128	2072	9172
129	2086	9150
130	2100	9124
131	2115	9101
132	2130	9083
133	2144	9056
134	2157	9031
135	2172	9008
136	2187	8987
137	2202	8969
138	2217	8950
139	2231	8925
140	2245	8903
141	2261	8887
142	2276	8866
143	2288	8837
144	2302	8813
145	2316	8790
